Product Name,Price,Rating,Ratings Count,Reviews Count,Features
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹37,990",4.3,"2,371",146,"Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Qualcomm Snapdragon X - (16 ...","₹52,990",4.4,426,38,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty"
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,"₹50,990",4.4,"15,581","1,237",Intel Core i5 Processor (13th Gen) | 16 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CKA-S70...,"₹19,990",4.1,63,5,Intel Celeron Dual Core Processor | 4 GB LPDDR4X RAM | Chrome Operating System | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...","₹51,990",4.3,"1,326",98,"Intel Core 5 Processor | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,"₹41,990",4.3,38,2,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹45,990",4.3,"1,359",86,Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Carry-in Warranty
Lenovo IdeaPad 3 Chrome Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) 15IJL6 Ch...,"₹30,790",3.5,137,9,Intel Celeron Dual Core Processor | 8 GB LPDDR4X RAM | Chrome Operating System | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹42,990",4.3,"2,545",172,"AMD Ryzen 5 Hexa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | My Dell (Dell Power Manager,Dell Support Assist) | 1 Year Onsite Warranty"
"DELL 14 Plus Next Gen AI PC Backlit Keyboard, Fingerprint reader Intel Core Ultra 5 226V - (16 GB/512 ...","₹76,990",4.3,262,24,Intel Core Ultra 5 Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Hardware Service
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹30,990",4.3,"1,722",115,AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...,"₹59,550",4.4,"2,345",207,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home and Student 2024 | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 H...","₹38,990",4.3,"2,371",146,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB S...,"₹31,990",4.2,"3,105",278,"AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty"
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,"₹50,990",4.3,595,58,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 38.86 cm (15.3 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,"₹68,990",4.3,755,47,Intel Core i7 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU T...,"₹39,990",4.2,"2,532",151,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty
"ASUS Vivobook S15, A-Part Metal Body, Backlit Keyboard, Intel Core i9 13th Gen 13900H - (16 GB/512 GB ...","₹72,990",4.4,160,13,Intel Core i9 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty
