Product Name,Price,Rating,Ratings Count,Reviews Count,Features,Price_Clean,Ratings_Count_Clean,Reviews_Count_Clean,Brand,Processor,RAM_GB,Storage_GB
Msi Cyborg 15 Ai Pc Intel Core Ultra 5 125H - (16 Gb/1 Tb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Gef...,"₹89,990",4.8,11,0,Intel Core Ultra 5 Processor | 16 GB DDR5 RAM | Windows 11 Operating System | 1 TB SSD | 39.62 cm (15.6 Inch) Display | 2 Year Carry-in Warranty,89990.0,11,0,Msi,Other,16.0,16.0
Asus Tuf Gaming A15 Amd Ryzen 7 Octa Core 7435Hs - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvi...,"₹55,990",4.3,"1,853",134,AMD Ryzen 7 Octa Core Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,55990.0,1853,134,Asus,AMD Ryzen,16.0,16.0
Msi Modern 14 Intel Core I7 12Th Gen 1255U - (16 Gb/512 Gb Ssd/Windows 11 Home) Modern 14 C12Mo-1202In...,"₹57,990",4.3,32,1,Intel Core i7 Processor (12th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty,57990.0,32,1,Msi,Intel Core i7,16.0,16.0
Hp Omen Slim Intel Core Ultra 7 255H - (24 Gb/1 Tb Ssd/Windows 11 Home/8 Gb Graphics/Nvidia Geforce Rt...,"₹1,44,990",4.0,5,2,Intel Core Ultra 7 Processor | 24 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 40.64 cm (16 Inch) Display | 1 Year Onsite Warranty,144990.0,5,2,Hp,Other,24.0,24.0
Lenovo Ideapad 3 Intel Core I3 10Th Gen 10110U - (8 Gb/256 Gb Ssd/Windows 11 Home) 15Iml05 Thin And Li...,"₹37,999",4.3,"4,212",421,Intel Core i3 Processor (10th Gen) | 8 GB DDR4 RAM | Windows 11 Operating System | 256 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home & Student 2019 | 2 Years Warranty,37999.0,4212,421,Lenovo,Intel Core i3,8.0,8.0
"Asus Zenbook A14 Oled (2025), Mso 2024 + M365 Basic, Metal Body, Backlit Keyboard, Qualcomm Snapdragon...","₹89,990",4.3,0,0,"Qualcomm Snapdragon X Elite Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty",89990.0,0,0,Asus,Qualcomm Snapdragon,16.0,16.0
"Asus Vivobook S14 (2025) With Office 2024 + M365 Basic*, Ai Pc, Backlit Keyboard, Intel Core Ultra 5 2...","₹72,990",4.3,47,5,"Intel Core Ultra 5 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty",72990.0,47,5,Asus,Other,16.0,16.0
Hp 250R G9 Intel Core I3 13Th Gen 1315U - (8 Gb/512 Gb Ssd/Windows 11 Home) 42V68Pa Thin And Light Lap...,"₹38,990",4.2,210,17,"Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | HP Support Assistant, Native Miracast Support, HP AudioSwitch, HP Documentation, HP Setup Integrated, OOBE, HP SSRM, HP Jumpstart, McAfee LiveSafe (30 Day Trial), Xerox DocuShare (30 Day Trial) | 1 Year Onsite Warranty",38990.0,210,17,Hp,Intel Core i3,8.0,8.0
Hp Spectre X360 Oled Eyesafe Evo Intel Core I7 13Th Gen 1355U - (16 Gb/1 Tb Ssd/Windows 11 Home) 14-Ef...,"₹1,39,990",4.8,4,1,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR4X RAM | 64 bit Windows 11 Operating System | 1 TB SSD | 34.29 cm (13.5 Inch) Touchscreen Display | 1 Year Onsite Warranty,139990.0,4,1,Hp,Intel Core i7,16.0,16.0
Acer Aspire 14 Ai Qualcomm Snapdragon X - (16 Gb/512 Gb Ssd/Windows 11 Home) A14-11M Thin And Light La...,"₹59,990",4.5,130,25,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Warranty,59990.0,130,25,Acer,Qualcomm Snapdragon,16.0,16.0
